País;Año;Miles de tns LCE;;;
Argentina;1995;0.042584;;;
Argentina;1996;0.042584;;;
Argentina;1997;0.042584;;;
Argentina;1998;58.553;;;
Argentina;1999;10.646;;;
Argentina;2000;10.646;;;
Argentina;2001;10.646;;;
Argentina;2002;47.907;;;
Argentina;2003;5.323;;;
Argentina;2004;10.646;;;
Argentina;2005;10.646;;;
Argentina;2006;154.367;;;
Argentina;2007;15.969;;;
Argentina;2008;170.336;;;
Argentina;2009;117.106;;;
Argentina;2010;15.969;;;
Argentina;2011;15.969;;;
Argentina;2012;143.721;;;
Argentina;2013;133.075;;;
Argentina;2014;170.336;;;
Argentina;2015;191.628;;;
Argentina;2016;308.734;;;
Argentina;2017;303.411;;;
Argentina;2018;340.672;;;
Argentina;2019;335.349;;;
Argentina;2020;314.057;;;
Argentina;2021;3.177.831;;;
Argentina;2022;3.396.074;;;
Argentina;2023;459.375;;;
Argentina;2024;95.814;;;
Australia;1995;117.106;;;
Australia;1996;207.597;;;
Australia;1997;85.168;;;
Australia;1998;63.876;;;
Australia;1999;79.845;;;
Australia;2000;95.814;;;
Australia;2001;117.106;;;
Australia;2002;117.106;;;
Australia;2003;186.305;;;
Australia;2004;175.659;;;
Australia;2005;255.504;;;
Australia;2006;330.026;;;
Australia;2007;361.964;;;
Australia;2008;356.641;;;
Australia;2009;292.765;;;
Australia;2010;452.455;;;
Australia;2011;622.791;;;
Australia;2012;676.021;;;
Australia;2013;537.623;;;
Australia;2014;6.584.551;;;
Australia;2015;6.350.339;;;
Australia;2016;74.522;;;
Australia;2017;1.133.799;;;
Australia;2018;303.411;;;
Australia;2019;239.535;;;
Australia;2020;2.113.231;;;
Australia;2021;2.943.619;;;
Australia;2022;3.976.281;;;
Australia;2023;4.881.191;;;
Australia;2024;468.424;;;
Brasil;1995;0.170336;;;
Brasil;1996;0.170336;;;
Brasil;1997;0.170336;;;
Brasil;1998;0.15969;;;
Brasil;1999;0.15969;;;
Brasil;2000;0.15969;;;
Brasil;2001;117.106;;;
Brasil;2002;10.646;;;
Brasil;2003;10.646;;;
Brasil;2004;10.646;;;
Brasil;2005;10.646;;;
Brasil;2006;10.646;;;
Brasil;2007;10.646;;;
Brasil;2008;10.646;;;
Brasil;2009;10.646;;;
Brasil;2010;10.646;;;
Brasil;2011;15.969;;;
Brasil;2012;10.646;;;
Brasil;2013;21.292;;;
Brasil;2014;0.85168;;;
Brasil;2015;0.79845;;;
Brasil;2016;117.106;;;
Brasil;2017;143.721;;;
Brasil;2018;558.915;;;
Brasil;2019;1.155.091;;;
Brasil;2020;755.866;;;
Brasil;2021;90.491;;;
Brasil;2022;1.399.949;;;
Brasil;2023;27.999;;;
Brasil;2024;53.23;;;
Chile;1995;10.646;;;
Chile;1996;143.721;;;
Chile;1997;244.858;;;
Chile;1998;292.765;;;
Chile;1999;303.411;;;
Chile;2000;356.641;;;
Chile;2001;314.057;;;
Chile;2002;351.318;;;
Chile;2003;415.194;;;
Chile;2004;441.809;;;
Chile;2005;436.486;;;
Chile;2006;473.747;;;
Chile;2007;548.269;;;
Chile;2008;521.654;;;
Chile;2009;271.473;;;
Chile;2010;473.747;;;
Chile;2011;633.437;;;
Chile;2012;654.729;;;
Chile;2013;558.915;;;
Chile;2014;5.764.809;;;
Chile;2015;5.221.863;;;
Chile;2016;723.928;;;
Chile;2017;7.574.629;;;
Chile;2018;9.033.131;;;
Chile;2019;10.241.452;;;
Chile;2020;11.513.649;;;
Chile;2021;15.032.152;;;
Chile;2022;25.986.886;;;
Chile;2023;2.560.363;;;
Chile;2024;30.303.839;;;
China;1995;15.969;;;
China;1996;149.044;;;
China;1997;154.367;;;
China;1998;15.969;;;
China;1999;122.429;;;
China;2000;127.752;;;
China;2001;127.752;;;
China;2002;127.752;;;
China;2003;133.075;;;
China;2004;138.398;;;
China;2005;149.044;;;
China;2006;149.044;;;
China;2007;15.969;;;
China;2008;175.659;;;
China;2009;202.274;;;
China;2010;21.292;;;
China;2011;218.243;;;
China;2012;239.535;;;
China;2013;250.181;;;
China;2014;122.429;;;
China;2015;10.646;;;
China;2016;122.429;;;
China;2017;361.964;;;
China;2018;377.933;;;
China;2019;574.884;;;
China;2020;707.959;;;
China;2021;74.522;;;
China;2022;1.202.998;;;
China;2023;1.900.311;;;
China;2024;218.243;;;
Estados Unidos;1995;186.305;;;
Estados Unidos;1996;21.292;;;
Estados Unidos;1997;21.292;;;
Estados Unidos;1998;79.845;;;
Estados Unidos;1999;79.845;;;
Estados Unidos;2000;79.845;;;
Estados Unidos;2001;79.845;;;
Estados Unidos;2002;79.845;;;
Estados Unidos;2003;79.845;;;
Estados Unidos;2004;79.845;;;
Estados Unidos;2005;79.845;;;
Estados Unidos;2006;79.845;;;
Estados Unidos;2007;79.845;;;
Estados Unidos;2008;79.845;;;
Estados Unidos;2009;79.845;;;
Estados Unidos;2010;5.323;;;
Estados Unidos;2011;5.323;;;
Estados Unidos;2012;5.323;;;
Estados Unidos;2013;47.907;;;
Estados Unidos;2014;47.907;;;
Estados Unidos;2015;47.907;;;
Estados Unidos;2016;47.907;;;
Estados Unidos;2017;47.907;;;
Estados Unidos;2018;47.907;;;
Estados Unidos;2019;47.907;;;
Estados Unidos;2020;47.907;;;
Estados Unidos;2021;500.362;;;
Estados Unidos;2022;324.703;;;
Estados Unidos;2023;31.938;;;
Estados Unidos;2024;489.716;;;
Otros paises;1995;37.261;;;
Otros paises;1996;37.261;;;
Otros paises;1997;85.168;;;
Otros paises;1998;37.261;;;
Otros paises;1999;37.261;;;
Otros paises;2000;37.261;;;
Otros paises;2001;37.261;;;
Otros paises;2002;37.261;;;
Otros paises;2003;37.261;;;
Otros paises;2004;37.261;;;
Otros paises;2005;37.261;;;
Otros paises;2006;37.261;;;
Otros paises;2007;37.261;;;
Otros paises;2008;37.261;;;
Otros paises;2009;15.969;;;
Otros paises;2010;0;;;
Otros paises;2011;0;;;
Otros paises;2012;0;;;
Otros paises;2013;0;;;
Otros paises;2014;0.10646;;;
Otros paises;2015;0;;;
Otros paises;2016;0.05323;;;
Otros paises;2017;0.47907;;;
Otros paises;2018;1.575.608;;;
Otros paises;2019;196.951;;;
Otros paises;2020;0.42584;;;
Otros paises;2021;0.63876;;;
Otros paises;2022;351.318;;;
Otros paises;2023;324.703;;;
Otros paises;2024;3.944.343;;;
Portugal;1995;10.646;;;
Portugal;1996;10.646;;;
Portugal;1997;10.646;;;
Portugal;1998;10.646;;;
Portugal;1999;10.646;;;
Portugal;2000;0.5323;;;
Portugal;2001;10.646;;;
Portugal;2002;10.646;;;
Portugal;2003;21.292;;;
Portugal;2004;21.292;;;
Portugal;2005;21.292;;;
Portugal;2006;21.292;;;
Portugal;2007;26.615;;;
Portugal;2008;26.615;;;
Portugal;2009;31.938;;;
Portugal;2010;31.938;;;
Portugal;2011;31.938;;;
Portugal;2012;15.969;;;
Portugal;2013;15.969;;;
Portugal;2014;138.398;;;
Portugal;2015;138.398;;;
Portugal;2016;207.597;;;
Portugal;2017;404.548;;;
Portugal;2018;612.145;;;
Portugal;2019;47.907;;;
Portugal;2020;186.305;;;
Portugal;2021;47.907;;;
Portugal;2022;202.274;;;
Portugal;2023;21.292;;;
Portugal;2024;202.274;;;
Zimbabue;1995;26.615;;;
Zimbabue;1996;26.615;;;
Zimbabue;1997;37.261;;;
Zimbabue;1998;5.323;;;
Zimbabue;1999;37.261;;;
Zimbabue;2000;37.261;;;
Zimbabue;2001;37.261;;;
Zimbabue;2002;31.938;;;
Zimbabue;2003;26.615;;;
Zimbabue;2004;10.646;;;
Zimbabue;2005;15.969;;;
Zimbabue;2006;31.938;;;
Zimbabue;2007;15.969;;;
Zimbabue;2008;26.615;;;
Zimbabue;2009;21.292;;;
Zimbabue;2010;26.615;;;
Zimbabue;2011;26.615;;;
Zimbabue;2012;58.553;;;
Zimbabue;2013;5.323;;;
Zimbabue;2014;47.907;;;
Zimbabue;2015;47.907;;;
Zimbabue;2016;5.323;;;
Zimbabue;2017;42.584;;;
Zimbabue;2018;85.168;;;
Zimbabue;2019;63.876;;;
Zimbabue;2020;223.566;;;
Zimbabue;2021;377.933;;;
Zimbabue;2022;548.269;;;
Zimbabue;2023;793.127;;;
Zimbabue;2024;117.106;;;
